Park,Model,Hours,Task,Accuracy,RMSE
P1,PewLSTM,1h,departure,80.63999938964844,0.97
P1,SimpleLSTM,1h,departure,77.33000183105469,1.41
P1,RandomForest,1h,departure,75.64,1.25
P1,PewLSTM_w/o_Periodic,1h,departure,80.30999755859375,0.98
P1,PewLSTM_w/o_Weather,1h,departure,74.80999755859375,1.4
P2,PewLSTM,1h,departure,77.9800033569336,3.6
P2,SimpleLSTM,1h,departure,76.08000183105469,3.78
P2,RandomForest,1h,departure,49.42,6.46
P2,PewLSTM_w/o_Periodic,1h,departure,66.70999908447266,4.26
P2,PewLSTM_w/o_Weather,1h,departure,-15.569999694824219,9.39
P3,PewLSTM,1h,departure,72.5199966430664,1.85
P3,SimpleLSTM,1h,departure,44.34000015258789,2.84
P3,RandomForest,1h,departure,57.1,2.35
P3,PewLSTM_w/o_Periodic,1h,departure,71.66999816894531,1.76
P3,PewLSTM_w/o_Weather,1h,departure,69.87999725341797,1.84
P4,PewLSTM,1h,departure,77.38999938964844,5.81
P4,SimpleLSTM,1h,departure,79.62999725341797,3.61
P4,RandomForest,1h,departure,67.46,5.22
P4,PewLSTM_w/o_Periodic,1h,departure,72.0,3.6
P4,PewLSTM_w/o_Weather,1h,departure,75.76000213623047,4.04
P5,PewLSTM,1h,departure,75.95999908447266,1.65
P5,SimpleLSTM,1h,departure,68.75,2.09
P5,RandomForest,1h,departure,65.64,2.01
P5,PewLSTM_w/o_Periodic,1h,departure,76.91999816894531,1.68
P5,PewLSTM_w/o_Weather,1h,departure,69.7699966430664,2.04
P6,PewLSTM,1h,departure,55.0099983215332,2.57
P6,SimpleLSTM,1h,departure,86.02999877929688,0.62
P6,RandomForest,1h,departure,64.09,1.64
P6,PewLSTM_w/o_Periodic,1h,departure,86.62000274658203,0.77
P6,PewLSTM_w/o_Weather,1h,departure,74.56999969482422,1.36
P7,PewLSTM,1h,departure,80.91999816894531,1.43
P7,SimpleLSTM,1h,departure,82.25,1.42
P7,RandomForest,1h,departure,48.81,3.24
P7,PewLSTM_w/o_Periodic,1h,departure,78.56999969482422,1.58
P7,PewLSTM_w/o_Weather,1h,departure,76.97000122070312,1.68
P8,PewLSTM,1h,departure,55.22999954223633,4.03
P8,SimpleLSTM,1h,departure,82.41999816894531,1.54
P8,RandomForest,1h,departure,65.91,2.97
P8,PewLSTM_w/o_Periodic,1h,departure,81.45999908447266,1.68
P8,PewLSTM_w/o_Weather,1h,departure,84.79000091552734,1.6
P9,PewLSTM,1h,departure,79.16000366210938,2.18
P9,SimpleLSTM,1h,departure,58.95000076293945,3.44
P9,RandomForest,1h,departure,55.19,3.17
P9,PewLSTM_w/o_Periodic,1h,departure,80.58999633789062,2.11
P9,PewLSTM_w/o_Weather,1h,departure,62.470001220703125,3.21
P10,PewLSTM,1h,departure,31.969999313354492,3.46
P10,SimpleLSTM,1h,departure,74.66000366210938,1.46
P10,RandomForest,1h,departure,43.5,2.73
P10,PewLSTM_w/o_Periodic,1h,departure,65.55000305175781,1.73
P10,PewLSTM_w/o_Weather,1h,departure,68.12000274658203,1.71
