park,type,model,accuracy,rmse
P1,Departure,SimpleLSTM,21.622484,2.8231043641774205
P1,Arrival,SimpleLSTM,-270.68213,11.076395564274918
P1,Departure,SimpleLSTM,75.64680480957031,1.3228607416221705
P1,Departure,RandomForest,74.9735864587605,1.199090864202229
P1,Departure,PewLSTM,-302.3813171386719,10.99734881270041
P1,Departure,PewLSTM_no_periodic,-2.5037288665771484,3.4785596276080573
P1,Departure,PewLSTM_no_weather,56.88869857788086,1.8333137106567792
P1,Arrival,SimpleLSTM,-145.3746795654297,7.26320629263785
P1,Arrival,RandomForest,74.28339212422317,1.2918107028742032
P1,Arrival,PewLSTM,78.91792297363281,1.4375076293742852
P1,Arrival,PewLSTM_no_periodic,-1.6177058219909668,3.8043262850702444
P1,Arrival,PewLSTM_no_weather,59.859432220458984,2.056017195210374
